url,name,price,quantity_box,quantity_carton,color,material,dipping
https://www.ardon.cz/macene-rukavice-ardonsafety-houston-modra,Máčené rukavice ARDON®HOUSTON,31.65,12,240,None,bavlna,nitril
https://www.ardon.cz/macene-rukavice-ardonsafety-sidney,Máčené rukavice ARDON®SIDNEY,51.38,12,120,modrá,bavlna,nitril
https://www.ardon.cz/macene-rukavice-ardonsafety-ronny,Máčené rukavice ARDON®RONNY,37.10,12,120,modrá,bavlna,nitril
https://www.ardon.cz/macene-rukavice-ardonsafety-ray,Máčené rukavice ARDON®RAY,97.20,12,120,červená,None,PVC
https://www.ardon.cz/pletene-rukavice-ardonsafety-proof,Pletené rukavice ARDON®PROOF,12.70,12,240,bílá,polyester,None
https://www.ardon.cz/rukavice-do-domacnosti-ardonsafety-stanley,Rukavice do domácnosti ARDON®STANLEY,15.86,12,216,žlutá,latex,None
https://www.ardon.cz/jednorazove-rukavice-ardonsafety-hdpe,Jednorázové rukavice ARDON®HDPE,15.87,None,None,čirá,HDPE,None
https://www.ardon.cz/protirezne-rukavice-ardonsafety-julius,Protiřezné rukavice ARDON®JULIUS,76.38,12,144,šedá,polyester,polyuretan
https://www.ardon.cz/macene-rukavice-ardonsafety-brad,Máčené rukavice ARDON®BRAD,24.80,12,240,bílá,polyester,nitril
https://www.ardon.cz/jednorazove-rukavice-semperguard-r-xtra-lite-nepudrovane-levandulove-modra,Jednorázové rukavice SEMPERGUARD® Xtra Lite,266.23,None,None,levandulově,nitril,None
https://www.ardon.cz/jednorazove-rukavice-semperguard-r-comfort-nepudrovane-modra,Jednorázové rukavice SEMPERGUARD® Comfort,183.61,None,None,modrá,nitril,None
https://www.ardon.cz/jednorazove-rukavice-semperguard-r-xpert-nepudrovane-modra,Jednorázové rukavice SEMPERGUARD® XPERT ,434.42,None,None,modrá,nitril,None
https://www.ardon.cz/jednorazove-rukavice-semperguard-r-cobalt-nepudrovane-tmave-modra,Jednorázové rukavice SEMPERGUARD® Cobalt ,121.19,None,None,modrá,nitril,None
https://www.ardon.cz/chemicke-rukavice-semperplus,Chemické rukavice SEMPERPLUS,69.43,12,144,zelená,nitril,None
https://www.ardon.cz/rukavice-do-domacnosti-sempertip,Rukavice do domácnosti SEMPERTIP DOPRODEJ,5.96,None,None,modrá,latex,None
https://www.ardon.cz/rukavice-do-domacnosti-sempervelvet,Rukavice do domácnosti SEMPERVELVET,30.16,12,144,modrá,latex,None
https://www.ardon.cz/jednorazove-rukavice-semperguard-r-xtension-nepudrovane-modra,Jednorázové rukavice SEMPERGUARD® Xtension,365.38,None,None,modrá,nitril,None
https://www.ardon.cz/jednorazove-rukavice-semperguard-r-latex-ic-nepudrovane,Jednorázové rukavice SEMPERGUARD® LATEX IC ,255.22,None,None,bílá,latex,None
https://www.ardon.cz/jednorazove-rukavice-protects-hygienic-vinyl-nepudrovane-modra,Jednorázové rukavice PROTECTS HYGIENIC VINYL,39.68,None,None,modrá,vinyl,None
https://www.ardon.cz/jednorazove-rukavice-semperguard-style,Rukavice SEMPERGUARD STYLE,181.78,None,None,None,None,None
https://www.ardon.cz/tepelne-odolne-rukavice-activarmr-r-42-474-09-l-ex-crusader,Tepelně odolné rukavice ActivArmr® 42-474 (ex Crusader),533.59,12,72,None,bavlna,None
https://www.ardon.cz/chemicke-rukavice-alphatec-r-37-676-ex-sol-vex-r-07-s,Chemické rukavice AlphaTec® 37-676 (ex Sol-vex®),89.27,12,144,zelená,None,None
https://www.ardon.cz/chemicke-rukavice-alphatec-r-87-900-ex-bi-colour-r-07-s,Chemické rukavice AlphaTec® 87-900 (ex Bi-colour®),97.20,12,144,zelená,latex,None
https://www.ardon.cz/macene-rukavice-ardon-r-petrax,Máčené rukavice ARDON®PETRAX,46.60,12,120,None,polyester,latexová
https://www.ardon.cz/macene-rukavice-ardon-r-pure-touch-white,Máčené rukavice ARDON®PURE TOUCH WHITE,32.18,None,None,bílá,nylon,polyuretan
https://www.ardon.cz/macene-rukavice-ardon-r-pure-touch-black,Máčené rukavice ARDON®PURE TOUCH BLACK,31.72,None,None,černá,nylon,polyuretan
